"Address","agencyId","AgencyName","AgencyType","City","County","LicenseEffectiveDate","LicenseeGroupOrganizationName","LicenseExpirationDate","LicenseNumber","LicenseStatus","Phone","ZipCode"
"1630 Lake Street, Kalamazoo, Kalamazoo, MI 49001, USA","a0i8z0000006SHWAA2","Glen's House","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2025-09-29","Family & Children Services","2027-09-28","CI390407805","Regular","2693440202","49001-3170"
"9300 Lahring Road, Gaines, Genesee, MI 48436, USA","a0i8z0000006SI5AAM","Mission Ranch","Child Caring Institution: Private","Gaines","Genesee","2025-06-11","Prism Project","2027-06-10","CI250410439","Regular","8103996900","48436-9746"
"3030 Long Lane Rd, Evart, Osceola, MI 49639, USA","a0i8z0000006SJ2AAM","Osceola Youth Center","Child Caring Institution: Private","Evart","Osceola","2024-11-09","Youth Opportunity Investments, LLC","2026-11-08","CI670414130","Regular","2315152039","49631-7218"
"615 W. Lovell, Kalamazoo, Kalamazoo, MI 49007, USA","a0i8z0000006SJOAA2","Let's Talk About it Girl's Home III","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-09-18","Let's Talk About It CMH Services, PLLC","2026-09-17","CI390403045","Regular","2484311371","49007-4615"
"720 South Michigan Ave., Saginaw, Saginaw, MI 48602, USA","a0i8z0000006SJRAA2","House of Love Agency","Child Caring Institution: Private","Saginaw","Saginaw","2025-07-29","House of Love Agency","2026-01-28","CI730404189","2nd Provisional","9894011999","48602-1528"
"2721 S. Washington Ave #1, Lansing, Ingham, MI 48910, USA","a0i8z0000006SJSAA2","Jackson House","Child Caring Institution: Private","Lansing","Ingham","2026-01-16","Child and Family Charities","2028-01-15","CI330410650","Regular","5179756310","48910-2871"
"1719 E HIGH ST, MT PLEASANT, Isabella, MI 48858-8989, UNITED STATES","a0i8z0000006SemAAE","New Hope Youth Center","Child Caring Institution: Private","MT PLEASANT","Isabella","2025-04-10","New Hope Youth Services, LLC","2027-04-09","CI370377212","Regular","5175998399","48858-8989"
"4599 E. VILLAGE ROAD, HERSEY, Osceola, MI 49639-0000, UNITED STATES","a0i8z0000006SenAAE","EAGLE VILLAGE LEPPIEN","Child Caring Institution: Private","HERSEY","Osceola","2025-07-23","Eagle Village Inc","2026-01-22","CI670411576","1st Provisional","2318322234","49639-0000"
"1276 JACK PINE DR, KALAMAZOO, Kalamazoo, MI 49006-5499, UNITED STATES","a0i8z0000006SeoAAE","PINE WAY GROUP SOUTH","Child Caring Institution: Therapeutic Group Home","KALAMAZOO","Kalamazoo","2026-01-28","Pine Way Group","2028-01-27","CM390403910","Regular","6162149142","49006-5499"
"7820 STATE HIGHWAY M123, NEWBERRY, Luce, MI 49868-8131, UNITED STATES","a0i8z0000006SevAAE","LAKES AREA TEACH FAMILY HOME","Child Caring Institution: Private","NEWBERRY","Luce","2025-04-28","Teaching Family Homes of Upper Michigan","2027-04-27","CI480201234","Regular","9062935670","49868-8131"
"26530 EUREKA RD, TAYLOR, Wayne, MI 48180-4918, UNITED STATES","a0i8z0000006SexAAE","PENRICKTON CENTER FOR BLIND CHILDREN","Child Caring Institution: Private","Taylor","Wayne","2024-06-14","Penrickton Center For Blind Children","2026-06-13","CI820201363","Regular","7349467500","48180-4918"
"1200 N TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1032, UNITED STATES","a0i8z0000006SeyAAE","Children's Village","Child Caring Institution: Government Non-MDHHS","PONTIAC","Oakland","2024-03-02","County of Oakland","2026-03-01","CE630201058","Regular","2488581164","48341-1032"
"2025 N GRAND RIVER AVE, LANSING, Ingham, MI 48906-3974, UNITED STATES","a0i8z0000006Sf2AAE","PECKHAM, INC. - FOOTPRINTS","Child Caring Institution: Private","Lansing","Ingham","2025-09-09","Peckham Voc. Industries Inc. - d/b/a Peckham, Inc.","2027-09-08","CI330273573","Regular","5173198436","48906-3974"
"901 EASTERN AVE, GRAND RAPIDS, Kent, MI 49503-1201, UNITED STATES","a0i8z0000006Sf5AAE","BETHANY CHRISTIAN SERVICES INC-RESIDENTIAL","Child Caring Institution: Private","GRAND RAPIDS","Kent","2024-07-25","Bethany Christian Services Inc","2026-07-24","CI410200975","Regular","6164596273","49503-1201"
"1638 LAKE ST, KALAMAZOO, Kalamazoo, MI 49001-3170, UNITED STATES","a0i8z0000006SfEAAU","GAIL'S HOUSE","Child Caring Institution: Private","KALAMAZOO","Kalamazoo","2025-11-24","Family & Children Services","2027-11-23","CI390385656","Regular","2693440202","49001-3170"
"300 68TH ST, GRAND RAPIDS, Kent, MI 49548-6927, UNITED STATES","a0i8z0000006SfZAAU","MAPLE LODGE GROUP HOME","Child Caring Institution: Private","GRAND RAPIDS","Kent","2026-02-01","Pine Rest Christian Mental Health Services","2028-01-31","CI410201278","Regular","6164555000","49548-6927"
"400 N ROSE ST, MOUNT CLEMENS, Macomb, MI 48043-1522, UNITED STATES","a0i8z0000006SfcAAE","MACOMB COUNTY JUVENILE JUSTICE CENTER","Child Caring Institution: Government Non-MDHHS","MOUNT CLEMENS","Macomb","2025-12-09","County of Macomb","2027-12-08","CE500201270","Regular","5864695375","48043-1522"
"406 ELDRED ST, KALAMAZOO, Kalamazoo, MI 49006-4513, UNITED STATES","a0i8z0000006SfdAAE","LET'S TALK ABOUT IT HOME FOR YOUNG MEN","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-07-23","ACTS II Ministry For Teens","2026-07-22","CI390311366","Regular","2695679409","49006-4513"
"17220 W VILLAGE RD, HERSEY, Osceola, MI 49639-9756, UNITED STATES","a0i8z0000006SfmAAE","EAGLE VILLAGE ASHMUN-SHERK","Child Caring Institution: Private","HERSEY","Osceola","2024-05-19","Eagle Village Inc","2026-05-18","CI670290156","Regular","2318327265","49639-9756"
"2440 RICHMOND ST, GRAND RAPIDS, Kent, MI 49504-2322, UNITED STATES","a0i8z0000006U7ZAAU","BETHANY CHRISTIAN SVCS-GR-CASA DEL SOL","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-09-21","Bethany Christian Services Inc","2027-09-20","CI410312005","Regular","6162400149","49504-2322"
"6350 W KL AVE, KALAMAZOO, Kalamazoo, MI 49009-9197, UNITED STATES","a0i8z0000006U7gAAE","HACIENDA DE LUZ","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-05-10","Bethany Christian Services Inc","2026-05-09","CI390407606","Regular","2693728800","49009-9197"
"190 PLEASANT KNOLL DR, ADRIAN, Lenawee, MI 49221-1220, UNITED STATES","a0i8z0000006U7hAAE","ADRIAN GROUP HOME","Child Caring Institution: Private","ADRIAN","Lenawee","2026-02-13","LHS Family and Youth Services","2028-02-12","CI460403164","Regular","4199023894","49221-1220"
"26645 W 6 MILE RD, DETROIT, Wayne, MI 48240-2319, UNITED STATES","a0i8z0000006U7iAAE","METHODIST CHILDREN'S HOME","Child Caring Institution: Private","DETROIT","Wayne","2024-08-10","Methodist Children's Home Society","2026-08-09","CI820201294","Regular","3135314060","48240-2319"
"2361 Knapp St NE, Grand Rapids, Kent, MI 49505-4415, UNITED STATES","a0i8z0000006U7mAAE","SAMARITAS SHELTER GRAND RAPIDS","Child Caring Institution: Private","Grand Rapids","Kent","2025-12-14","Samaritas","2027-12-13","CI410409653","Regular","5178962041","49505-4415"
"1020 SILVER CREEK RD, MARQUETTE, Marquette, MI 49855-8948, UNITED STATES","a0i8z0000006U7qAAE","CEDAR CREEK TEACHING FAMILY HOME","Child Caring Institution: Private","MARQUETTE","Marquette","2024-11-23","Teaching Family Homes of Upper Michigan","2026-11-22","CI520283194","Regular","9062491459","49855-8948"
"1200 N TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1032, UNITED STATES","a0i8z0000006U7vAAE","Childrens Village-Residential","Child Caring Institution: Government Non-MDHHS","Pontiac","Oakland","2024-02-13","County of Oakland","2026-02-12","CE630201060","Regular","2488581164","48341-1032"
"1115 BALL AVE, GRAND RAPIDS, Kent, MI 49505-5904, UNITED STATES","a0i8z0000006U80AAE","THE BRIDGE FOR RUNAWAYS","Child Caring Institution: Private","Grand Rapids","Kent","2025-01-02","Arbor Circle Corporation","2027-01-01","CI410201464","Regular","6164513001","49505-5904"
"3240 36TH ST, GRAND RAPIDS, Kent, MI 49512-8193, UNITED STATES","a0i8z0000006U85AAE","WEST CAMPUS","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-08-31","Wedgwood Christian Services","2027-08-30","CI410337023","Regular","6169422110","49512-8193"
"30760 GLENMUER ST, FARMINGTON HILLS, Oakland, MI 48334-1029, UNITED STATES","a0i8z0000006U8BAAU","GLEN GROVE","Child Caring Institution: Private","FARMINGTON HILLS","Oakland","2024-12-02","NRMI LLC","2026-12-01","CI630412886","Regular","2485389465","48334-1029"
