sha256,agency_id,agency_name,document_title,date,level,justification,input_tokens,output_tokens,cost,duration_ms
0005aef67191b6a71053e81c44c2f70a7d60ce7b92d2ca666672f197d66e30dc,CB520304693,Upper Peninsula Family Solutions,Special Investigation Report #2020C0102008,"March 2, 2020",low,"The substantiated violations are: 1) A case contact was not entered into the MiSACWIS system within five business days, and 2) A required Relative Placement Safety Screen form was not completed within five business days of a relative's interest. Both are administrative paperwork/documentation errors, fitting the 'low' category for 'Administrative or paperwork issues: missing signatures on required forms, minor documentation errors, late submission of a report.'",4079,102,0.00114417,8515
0024a225c1d3dde399bd189e0cc2392aad5b47ba9720b1f2fd40204223f74bb1,CI460403164,LHS Family and Youth Services,Special Investigation Report #2022C0446027,"June 29, 2022",severe,"The investigation substantiated a violation of staff sufficiency leading to inadequate supervision. This resulted in a prolonged physical assault between youths (Youth A and Youth B) involving hitting, punching, choking, and the use of objects (belt, hairbrush) as weapons, causing significant injuries including bruising and a bloody nose. The incident constitutes youth-on-youth violence, a criterion under the 'Safety and Violence' category for severe SIRs.",3731,102,0.00109058,8090
00a734fd316d634b72f233c11ba20eddc6b8e352963006f87a2a299b36cddadc,CI520345626,Great Lakes Recovery Centers,Special Investigation Report #2021C0116040,"August 17, 2021",moderate,"The substantiated violation is a supervision failure. Staff 1 left youth unsupervised, violating the facility's line-of-sight supervision policy, which allowed youth to enter another youth's bedroom and engage in inappropriate physical contact (giving a hickey). This aligns with the 'Environmental or supervision failures' category for moderate SIRs, as it involves a breakdown in supervision that allowed a youth-on-youth incident to escalate.",2915,97,0.00082779,5166
00bc1df0d8ed15b758ea4fb9f0675f52d2c0d97d88a9beb69e15f52e32070cc9,CI370377212,New Hope Youth Center,Special Investigation Report #2025SIC0000557,"Special Investigation Intake Date: April 14, 2025",moderate,"The substantiated violation is for failure to follow the facility's internal supervision policy (Rule 400.4109), which required line-of-sight supervision of youth. This failure of supervision allowed a youth-on-youth assault to occur (Youth B throwing a container at Youth A, causing a laceration requiring hospital treatment). According to the instructions, 'Environmental or supervision failures' including 'youth-on-youth conflict escalating due to lack of supervision' are categorized as Moderate SIRs. The violation is not 'Severe' because the primary finding is the supervision policy failure, not a violation directly categorized under 'Safety and Violence' for the assault itself (which was an outcome of the supervision failure).",6900,154,0.00185252,8619
00c2b2403fdd7001e91fe327fc3c376f93e6e89efc7314ec7a03050ef124c452,CB410245705,Catholic Charities West Michigan,Special Investigation Report #2020C0103040,"October 1, 2020",severe,"The substantiated violations involve the agency's failure to monitor and document a youth's serious medical decline, including significant weight loss, muscle weakness, pressure sores, and medication side effects. The worker was unaware of emergency room visits and wounds, and critical medical information was not updated in the youth's file or passport. This constitutes a 'Medical and mental health concern' involving missed medical care and unmet treatment needs, falling under the 'severe' category.",5857,104,0.00168676,3801
00fbc257a3b08b5d8d4935c3568565c8ec91f6fbb8379c689b4cc9d35190f5ff,CI731001543,Queen of Angels,Special Investigation Report #2024SIC0001705,"Special Investigation Intake Date: August 21, 2024",severe,"The substantiated violations involve staff-on-youth violence and an unsafe restraint. Staff 3 pushed Youth A multiple times, including pushing him to the ground by his neck/shoulder area, and held him down with force. This physical assault and the use of a non-approved, unsafe physical restraint align directly with the 'Severe SIRs' criteria for 'Safety and Violence' (physical assault, staff-on-youth violence) and 'Restraint and seclusion' (use of physical restraints suggesting excessive force or unsafe de-escalation).",5202,122,0.001448138,6148
00fdfbed71077510235122b3db80661578d75041081defaf73a65d8ca8f656b0,CP390201215,Michigan Department of Health and Human,Special Investigation Report #2022C0212013,"July 8, 2022",severe,"The substantiated violation involves staff sending nude photos (sexual content) to a foster youth, which falls under sexual abuse, categorized as severe due to safety and violence concerns, including sexual abuse. Additional concerns about the youth staying with the employee at a hotel (implying inappropriate physical contact) further support the severe classification.",4718,80,0.00116272,197031
0146c2410abd176761771d7c3b766531afc6110f17a34693aebebb1e30438d0b,CB630201423,Catholic Charities of Southeast Michigan,Special Investigation Report #2022C0420021,"July 8, 2022",low,"The substantiated violation is solely the failure to submit closed adoption records to the state department within the required 12-13 month timeframe. This is an administrative paperwork and record retention issue, aligning with the 'Low SIRs' category for 'Administrative or paperwork issues: missing signatures... minor documentation errors, late submission of a report...'",3313,82,0.000923997,6488
0173b638c939a8483e9bafaa788ca2389923ff83d8df13b138773a70bd473429,CI820293953,LINCOLN CENTER,Special Investigation Report,"August 8, 2023",severe,"The report substantiates that Staff 4 gave Youth A a marijuana edible (candy) which caused nausea, vomiting, disorientation, altered mental state, and required transport to hospital. This involves medication errors, serious safety risks due to ingestion of harmful substance leading to hospitalization, and unmet treatment needs, aligning with the 'Medical and mental health concerns' category under severe SIRs.",3224,94,0.00080948,145717
0193d029cf683f3132f497aa44e919c11c5abac873aac71fc0dc758328531f5d,CI330201171,"Highfields, Inc.",Special Investigation Report #2021C0103033,"October 12, 2021",severe,"The substantiated violation involves a staff performing a restraint on a youth in a prone position with another staff lying on top of him, which is prohibited due to safety risks, and the restraint was conducted in an unsafe location. This aligns with the categorization instructions for Severe SIRs under 'Restraint and seclusion: Use of physical restraints, mechanical restraints, seclusion/isolation, or any incident suggesting excessive force or unsafe de-escalation practices.'",4131,104,0.001152839,5381
