county,region_number,region_name
Alger,1,Upper Peninsula Prosperity Alliance
Baraga,1,Upper Peninsula Prosperity Alliance
Chippewa,1,Upper Peninsula Prosperity Alliance
Delta,1,Upper Peninsula Prosperity Alliance
Dickinson,1,Upper Peninsula Prosperity Alliance
Gogebic,1,Upper Peninsula Prosperity Alliance
Houghton,1,Upper Peninsula Prosperity Alliance
Iron,1,Upper Peninsula Prosperity Alliance
Keweenaw,1,Upper Peninsula Prosperity Alliance
Luce,1,Upper Peninsula Prosperity Alliance
Mackinac,1,Upper Peninsula Prosperity Alliance
Marquette,1,Upper Peninsula Prosperity Alliance
Menominee,1,Upper Peninsula Prosperity Alliance
Ontonagon,1,Upper Peninsula Prosperity Alliance
Schoolcraft,1,Upper Peninsula Prosperity Alliance
Antrim,2,Northwest Prosperity Region
Benzie,2,Northwest Prosperity Region
Charlevoix,2,Northwest Prosperity Region
Emmet,2,Northwest Prosperity Region
Grand Traverse,2,Northwest Prosperity Region
Kalkaska,2,Northwest Prosperity Region
Leelanau,2,Northwest Prosperity Region
Manistee,2,Northwest Prosperity Region
Missaukee,2,Northwest Prosperity Region
Wexford,2,Northwest Prosperity Region
Alcona,3,Northeast Prosperity Region
Alpena,3,Northeast Prosperity Region
Cheboygan,3,Northeast Prosperity Region
Crawford,3,Northeast Prosperity Region
Iosco,3,Northeast Prosperity Region
Montmorency,3,Northeast Prosperity Region
Ogemaw,3,Northeast Prosperity Region
Oscoda,3,Northeast Prosperity Region
Otsego,3,Northeast Prosperity Region
Presque Isle,3,Northeast Prosperity Region
Roscommon,3,Northeast Prosperity Region
Allegan,4,West Michigan Prosperity Alliance
Barry,4,West Michigan Prosperity Alliance
Ionia,4,West Michigan Prosperity Alliance
Kent,4,West Michigan Prosperity Alliance
Lake,4,West Michigan Prosperity Alliance
Mason,4,West Michigan Prosperity Alliance
Mecosta,4,West Michigan Prosperity Alliance
Montcalm,4,West Michigan Prosperity Alliance
Muskegon,4,West Michigan Prosperity Alliance
Newaygo,4,West Michigan Prosperity Alliance
Oceana,4,West Michigan Prosperity Alliance
Osceola,4,West Michigan Prosperity Alliance
Ottawa,4,West Michigan Prosperity Alliance
Arenac,5,East Central Michigan Prosperity Region
Bay,5,East Central Michigan Prosperity Region
Clare,5,East Central Michigan Prosperity Region
Gladwin,5,East Central Michigan Prosperity Region
Gratiot,5,East Central Michigan Prosperity Region
Isabella,5,East Central Michigan Prosperity Region
Midland,5,East Central Michigan Prosperity Region
Saginaw,5,East Central Michigan Prosperity Region
Genesee,6,East Michigan Prosperity Region
Huron,6,East Michigan Prosperity Region
Lapeer,6,East Michigan Prosperity Region
Sanilac,6,East Michigan Prosperity Region
Shiawassee,6,East Michigan Prosperity Region
St. Clair,6,East Michigan Prosperity Region
Tuscola,6,East Michigan Prosperity Region
Clinton,7,South Central Prosperity Region
Eaton,7,South Central Prosperity Region
Ingham,7,South Central Prosperity Region
Berrien,8,Southwest Prosperity Region
Branch,8,Southwest Prosperity Region
Calhoun,8,Southwest Prosperity Region
Cass,8,Southwest Prosperity Region
Kalamazoo,8,Southwest Prosperity Region
St. Joseph,8,Southwest Prosperity Region
Van Buren,8,Southwest Prosperity Region
Hillsdale,9,Southeast Michigan Prosperity Region
Jackson,9,Southeast Michigan Prosperity Region
Lenawee,9,Southeast Michigan Prosperity Region
Livingston,9,Southeast Michigan Prosperity Region
Monroe,9,Southeast Michigan Prosperity Region
Washtenaw,9,Southeast Michigan Prosperity Region
Macomb,10,Detroit Metro Prosperity Region
Oakland,10,Detroit Metro Prosperity Region
Wayne,10,Detroit Metro Prosperity Region
